strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,3071,107,2740,-1.1,43.14,18.61
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,10d,10日收益,return_10d_pct,settled_10d,3071,107,2487,-1.54,42.46,24.33
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,latest,至今收益,latest_return_pct,,1018,79,979,-19.47,16.65,8.89
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,1018,79,979,-0.4,36.47,2.15
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,1018,79,979,-0.04,46.48,8.89
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,1d,1日收益,return_1d_pct,settled_1d,1018,79,979,-0.04,46.48,8.89
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,3d,3日收益,return_3d_pct,settled_3d,1018,79,952,-0.41,44.54,16.18
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,5d,5日收益,return_5d_pct,settled_5d,1018,79,923,-0.75,43.45,21.02
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,1018,79,979,0.37,49.85,4.6
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,1018,79,952,-0.11,46.95,14.71
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,1018,79,923,-0.49,45.5,19.72
v1,2026-07-25T04:22:17,上榜阶段,连续第2天,10d,10日收益,return_10d_pct,settled_10d,1018,79,862,-1.66,40.02,24.36
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,latest,至今收益,latest_return_pct,,633,41,622,-21.02,14.79,6.43
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,633,41,622,-0.38,39.87,2.09
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,633,41,622,0.24,48.39,8.04
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,1d,1日收益,return_1d_pct,settled_1d,633,41,622,0.24,48.39,8.04
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,3d,3日收益,return_3d_pct,settled_3d,633,41,604,-0.72,42.38,16.56
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,5d,5日收益,return_5d_pct,settled_5d,633,41,584,-1.56,42.29,19.18
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,633,41,622,0.65,51.29,4.98
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,633,41,604,-0.42,44.37,14.07
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,633,41,584,-1.35,41.61,16.44
v1,2026-07-25T04:22:17,上榜阶段,连续第3天,10d,10日收益,return_10d_pct,settled_10d,633,41,539,-2.07,40.45,24.68
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,latest,至今收益,latest_return_pct,,2495,132,2384,-17.38,18.67,9.61
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,2495,132,2384,-0.34,41.82,2.6
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,2495,132,2384,-0.16,47.15,8.14
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,1d,1日收益,return_1d_pct,settled_1d,2495,132,2384,-0.16,47.15,8.14
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,3d,3日收益,return_3d_pct,settled_3d,2495,132,2311,-0.68,43.31,14.84
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,5d,5日收益,return_5d_pct,settled_5d,2495,132,2245,-1.22,41.38,17.68
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,2495,132,2384,0.21,48.83,3.61
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,2495,132,2311,-0.49,44.22,12.89
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,2495,132,2245,-1.04,42.54,16.79
v1,2026-07-25T04:22:17,上榜阶段,首次上榜,10d,10日收益,return_10d_pct,settled_10d,2495,132,2089,-1.28,40.93,23.07
