signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-04-23,002580,圣阳股份,4,不推送,46.0,18,-1.0,2.71,5.08,-3.3,34.19,9.38,1.89,26.7,11.79,11.79,34.19,人气Top10；温和放量；站上20日线且不过热；持续霸榜,近5日趋势未确认；热度可能进入后段,v2
2026-05-11,600118,中国卫星,38,不推送,0.0,9,33.18,29.31,34.11,-1.34,34.11,16.73,12.24,,34.11,34.11,,人气Top50；站上20日线且不过热；人气排名明显上升,当日转弱；强势市里个股相对走弱；v2回避转弱弱收盘样本,v2
2026-04-21,603538,美诺华,80,不推送,20.0,20,-1.96,-3.86,2.8,-3.98,34.0,9.61,14.45,21.26,13.08,17.08,34.0,温和放量；站上20日线且不过热；持续霸榜,热度可能进入后段；上影线偏长,v2
2026-04-17,000988,华工科技,26,不推送,56.0,22,-1.29,-1.46,1.3,33.96,33.96,3.66,-1.17,7.29,3.99,5.85,10.94,人气Top50；当日上涨；收盘承接较强；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升,热度可能进入后段,v2
2026-04-29,002655,共达电声,91,不推送,55.0,14,0.03,2.67,4.85,14.33,33.91,16.64,18.47,14.56,16.64,33.91,33.91,当日涨停附近；收在日内高位；放量仍可控；近5日强势延续；v2低分涨停修正,短线涨幅偏高；偏离20日线较大,v2
2026-05-07,603986,兆易创新,71,不推送,36.0,11,-2.62,-4.59,-1.96,33.86,33.86,0.97,1.72,23.34,4.95,6.67,32.75,温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势,人气排名明显回落；v2回避人气转弱样本,v2
2026-04-10,600105,永鼎股份,1,强推观察,107.0,27,-0.6,1.57,3.96,24.17,33.86,-1.47,8.4,28.64,5.7,11.55,33.86,人气Top3；当日涨停附近；收在日内高位；温和放量；近5日强势延续；首次上榜即强势；v2强势延续修正；v2低分涨停修正,短线涨幅偏高；偏离20日线较大,v2
2026-05-08,301308,江波龙,87,不推送,0.0,10,10.69,16.7,18.44,15.2,33.86,28.28,23.8,15.2,29.12,33.86,33.86,站上20日线且不过热；连续上榜确认,当日转弱；收盘承接偏弱；人气排名明显回落；v2回避转弱弱收盘样本；v2回避人气转弱样本,v2
2026-04-17,600487,亨通光电,2,普通观察,74.0,22,4.85,9.42,9.6,31.27,33.85,18.2,24.96,29.02,18.2,28.12,33.85,人气Top3；当日上涨；收盘承接较强；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升,近5日趋势未确认；热度可能进入后段,v2
2026-04-21,002407,多氟多,32,不推送,52.0,20,-1.44,-0.72,0.5,33.65,33.65,2.82,5.07,8.92,2.82,8.61,21.47,人气Top50；当日上涨；收盘承接较强；温和放量；站上20日线且不过热；人气排名明显上升,-,v2
2026-04-30,000988,华工科技,76,不推送,32.0,13,2.91,4.74,8.29,30.77,33.6,14.36,20.61,32.52,14.53,25.91,33.6,收盘承接较强；温和放量；站上20日线且不过热,-,v2
2026-05-06,000988,华工科技,42,不推送,52.0,13,2.91,4.74,8.29,30.77,33.6,14.36,20.61,32.52,14.53,25.91,33.6,人气Top50；收盘承接较强；温和放量；站上20日线且不过热；连续上榜确认；人气排名明显上升,-,v2
2026-04-28,300308,中际旭创,36,不推送,8.0,15,-1.06,2.55,4.61,25.97,33.48,3.88,7.52,27.41,7.89,9.1,33.48,人气Top50；温和放量；站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段,v2
2026-04-24,605299,舒华体育,52,不推送,46.0,17,-0.14,6.37,9.99,-15.1,33.43,13.94,25.47,18.77,13.94,30.05,33.43,当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；人气排名明显上升,-,v2
2026-04-20,600156,华升股份,39,强推观察,109.0,21,9.91,-4.02,9.91,33.37,33.37,-3.53,-9.52,15.31,9.91,9.91,20.51,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日强势延续；站上20日线且不过热；连续上榜确认；人气排名明显上升；v2强势延续修正；v2连榜升温修正；v2低分涨停修正,短线涨幅偏高,v2
